danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Song_Name,Chunk_Number,Predicted_Mood,Timestamp
0.6535,0.298,-9.9344,0.0425,0.8915,0.0066,0.1148,0.5944,99.2044,Count on Me,1,Sad,2025-07-02T10:47:51.840483
0.5388,0.3424,-8.1181,0.0307,0.8709,0.0053,0.1166,0.5646,120.5254,Count on Me,2,Sad,2025-07-02T10:47:54.835154
0.4867,0.2962,-9.2751,0.0317,0.9037,0.0091,0.1259,0.4163,125.0935,Count on Me,3,Sad,2025-07-02T10:47:57.273944
0.4446,0.2878,-9.7937,0.024,0.8962,0.0079,0.1151,0.377,124.1125,Count on Me,4,Sad,2025-07-02T10:48:00.398860
0.4651,0.3482,-9.1865,0.0285,0.8701,0.0039,0.1261,0.3656,89.6958,Count on Me,5,Sad,2025-07-02T10:48:02.961844
0.4488,0.3038,-9.5072,0.0261,0.8737,0.0085,0.1209,0.3341,113.5907,Count on Me,6,Sad,2025-07-02T10:48:05.637410
0.1693,0.332,-13.3378,0.0313,0.8274,0.0458,0.1564,0.1944,64.3371,Count on Me,7,Sad,2025-07-02T10:48:07.697872
